DATAFLOW,LAST UPDATE,freq,bmi,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Sweden,2022,38.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Sweden,2025,38.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovenia,2017,37.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovenia,2022,39.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovenia,2025,39.9,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovakia,2017,42.8,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovakia,2022,44.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Slovakia,2025,42.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Türkiye,2022,35.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,Türkiye,2025,35.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,18 years or over,Percentage,United Kingdom,2017,34.9,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Albania,2022,49.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Austria,2017,42.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Austria,2022,37.9,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Austria,2025,40.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Bosnia and Herzegovina,2022,45.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Belgium,2017,33.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Belgium,2022,36.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Belgium,2025,36.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Bulgaria,2017,50.8,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Bulgaria,2022,47.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Bulgaria,2025,45.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Switzerland,2017,38.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Switzerland,2022,35.9,u,
