,Obesity_Prevalence,Policy_Count,Instrument_Diversity
Obesity_Prevalence,1.0,-0.19080917554093185,-0.38290049235234214
Policy_Count,-0.19080917554093185,1.0,0.8266384580174289
Instrument_Diversity,-0.38290049235234214,0.8266384580174289,1.0
