Metric,Value
Observations,27.0
R-squared,0.19651753590487098
Adjusted R-squared,0.12956066389694365
F-statistic,2.9349868058592117
F-test p-value,0.07239637707053148
AIC,146.98166816210357
BIC,150.86917876011657
