,Obesity_Prevalence,Policy_Count,Instrument_Diversity
Obesity_Prevalence,1.0,-0.25061851764004167,-0.35377241642530355
Policy_Count,-0.25061851764004167,1.0,0.8201286240048172
Instrument_Diversity,-0.35377241642530355,0.8201286240048172,1.0
